[DEBUG][2025-01-12 16:35:00,350][root] The alert button has been clicked
[DEBUG][2025-01-12 16:35:01,634][root] The browser has been closed
[DEBUG][2025-01-12 16:35:01,722][root] Prepare the browser
[DEBUG][2025-01-12 16:35:02,123][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:02,662][root] Start searching elements on the page
[DEBUG][2025-01-12 16:35:05,852][root] The allert button has been clicked
[DEBUG][2025-01-12 16:35:06,002][root] The allert tab text has been pased
[DEBUG][2025-01-12 16:35:07,284][root] The browser has been closed
[DEBUG][2025-01-12 16:35:07,369][root] Prepare the browser
[DEBUG][2025-01-12 16:35:07,769][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:12,168][root] The browser has been closed
[DEBUG][2025-01-12 16:35:12,255][root] Prepare the browser
[DEBUG][2025-01-12 16:35:12,637][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:23,279][root] The browser has been closed
[DEBUG][2025-01-12 16:35:23,366][root] Prepare the browser
[DEBUG][2025-01-12 16:35:23,707][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:26,409][root] The browser has been closed
[DEBUG][2025-01-12 16:35:26,488][root] Prepare the browser
[DEBUG][2025-01-12 16:35:26,901][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:29,808][root] The browser has been closed
[DEBUG][2025-01-12 16:35:29,886][root] Prepare the browser
[DEBUG][2025-01-12 16:35:30,234][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:32,954][root] The browser has been closed
[DEBUG][2025-01-12 16:35:33,034][root] Prepare the browser
[DEBUG][2025-01-12 16:35:33,422][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:36,133][root] The browser has been closed
[DEBUG][2025-01-12 16:35:36,213][root] Prepare the browser
[DEBUG][2025-01-12 16:35:36,549][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:39,424][root] The browser has been closed
[DEBUG][2025-01-12 16:35:39,506][root] Prepare the browser
[DEBUG][2025-01-12 16:35:39,899][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:43,627][root] The browser has been closed
[DEBUG][2025-01-12 16:35:43,710][root] Prepare the browser
[DEBUG][2025-01-12 16:35:44,053][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:49,909][root] The browser has been closed
[DEBUG][2025-01-12 16:35:50,008][root] Prepare the browser
[DEBUG][2025-01-12 16:35:50,408][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:54,837][root] The browser has been closed
[DEBUG][2025-01-12 16:35:54,916][root] Prepare the browser
[DEBUG][2025-01-12 16:35:55,252][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:59,834][root] The browser has been closed
[DEBUG][2025-01-12 16:35:59,920][root] Prepare the browser
[DEBUG][2025-01-12 16:36:00,329][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:04,798][root] The browser has been closed
[DEBUG][2025-01-12 16:36:04,882][root] Prepare the browser
[DEBUG][2025-01-12 16:36:05,277][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:11,161][root] The browser has been closed
[DEBUG][2025-01-12 16:36:11,245][root] Prepare the browser
[DEBUG][2025-01-12 16:36:11,655][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:17,647][root] The browser has been closed
[DEBUG][2025-01-12 16:36:17,734][root] Prepare the browser
[DEBUG][2025-01-12 16:36:18,088][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:22,684][root] The browser has been closed
[DEBUG][2025-01-12 16:36:22,771][root] Prepare the browser
[DEBUG][2025-01-12 16:36:23,174][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:32,390][root] The browser has been closed
[DEBUG][2025-01-12 16:36:32,476][root] Prepare the browser
[DEBUG][2025-01-12 16:36:32,872][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:36,141][root] The browser has been closed
[DEBUG][2025-01-12 16:36:36,225][root] Prepare the browser
[DEBUG][2025-01-12 16:36:36,577][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:40,023][root] The browser has been closed
[DEBUG][2025-01-12 16:36:40,104][root] Prepare the browser
[DEBUG][2025-01-12 16:36:40,548][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:47,821][root] The browser has been closed
[DEBUG][2025-01-12 16:36:47,906][root] Prepare the browser
[DEBUG][2025-01-12 16:36:48,326][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:52,645][root] The browser has been closed
[DEBUG][2025-01-12 16:36:52,728][root] Prepare the browser
[DEBUG][2025-01-12 16:36:53,125][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:36:58,227][root] The browser has been closed
[DEBUG][2025-01-12 16:36:58,311][root] Prepare the browser
[DEBUG][2025-01-12 16:36:58,705][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:04,287][root] The browser has been closed
